AÑO,AREA,NIVEL,HOMBRE,MUJER
2018,FÍSICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA,1,1339,576
2018,FÍSICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA,2,672,220
2018,FÍSICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA,3,497,106
2018,FÍSICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA,C,636,366
2018,HUMANIDADES Y CIENCIAS DE LA CONDUCTA,1,1080,1206
2018,HUMANIDADES Y CIENCIAS DE LA CONDUCTA,2,305,353
2018,HUMANIDADES Y CIENCIAS DE LA CONDUCTA,3,149,141
2018,HUMANIDADES Y CIENCIAS DE LA CONDUCTA,C,449,580
2018,INGENIERÍAS,1,1814,809
2018,INGENIERÍAS,2,358,128
2018,INGENIERÍAS,3,136,24
2018,INGENIERÍAS,C,581,298
2018,MEDICINA Y CIENCIAS DE LA SALUD,1,831,1077
2018,MEDICINA Y CIENCIAS DE LA SALUD,2,287,318
2018,MEDICINA Y CIENCIAS DE LA SALUD,3,206,95
2018,MEDICINA Y CIENCIAS DE LA SALUD,C,260,325
2019,BIOLOGÍA Y QUÍMICA,1,1240,1239
2019,BIOLOGÍA Y QUÍMICA,2,430,307
2019,BIOLOGÍA Y QUÍMICA,3,296,144
2019,BIOLOGÍA Y QUÍMICA,C,410,459
2019,BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS,1,1180,825
2019,BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS,2,285,145
2019,BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS,3,154,58
2019,BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS,C,526,634
2019,CIENCIAS SOCIALES,1,1285,1109
2019,CIENCIAS SOCIALES,2,424,345
2019,CIENCIAS SOCIALES,3,265,137
2019,CIENCIAS SOCIALES,C,732,748
2019,FÍSICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA,1,1422,617
2019,FÍSICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA,2,674,225
2019,FÍSICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA,3,518,118
2019,FÍSICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA,C,702,432
2019,HUMANIDADES Y CIENCIAS DE LA CONDUCTA,1,1093,1219
2019,HUMANIDADES Y CIENCIAS DE LA CONDUCTA,2,302,352
2019,HUMANIDADES Y CIENCIAS DE LA CONDUCTA,3,155,148
2019,HUMANIDADES Y CIENCIAS DE LA CONDUCTA,C,508,676
2019,INGENIERÍAS,1,1909,880
