AÑO,AREA,NIVEL,GENERO,ENTIDAD,REGION,N
2015,BIOLOGÍA Y QUÍMICA,1,MUJER,Veracruz,Oriente,46
2015,BIOLOGÍA Y QUÍMICA,1,MUJER,Yucatán,Sureste,30
2015,BIOLOGÍA Y QUÍMICA,1,MUJER,Zacatecas,Centronorte,2
2015,BIOLOGÍA Y QUÍMICA,2,HOMBRE,Aguascalientes,Centronorte,3
2015,BIOLOGÍA Y QUÍMICA,2,HOMBRE,Baja California,Noroeste,12
2015,BIOLOGÍA Y QUÍMICA,2,HOMBRE,Baja California Sur,Noroeste,9
2015,BIOLOGÍA Y QUÍMICA,2,HOMBRE,Campeche,Sureste,2
2015,BIOLOGÍA Y QUÍMICA,2,HOMBRE,Chiapas,Suroeste,7
2015,BIOLOGÍA Y QUÍMICA,2,HOMBRE,Chihuahua,Noroeste,1
2015,BIOLOGÍA Y QUÍMICA,2,HOMBRE,Ciudad de México,Centrosur,150
2015,BIOLOGÍA Y QUÍMICA,2,HOMBRE,Coahuila,Noreste,3
2015,BIOLOGÍA Y QUÍMICA,2,HOMBRE,Colima,Occidente,4
2015,BIOLOGÍA Y QUÍMICA,2,HOMBRE,Guanajuato,Centronorte,16
2015,BIOLOGÍA Y QUÍMICA,2,HOMBRE,Hidalgo,Oriente,10
2015,BIOLOGÍA Y QUÍMICA,2,HOMBRE,Jalisco,Occidente,11
2015,BIOLOGÍA Y QUÍMICA,2,HOMBRE,Michoacán,Occidente,15
2015,BIOLOGÍA Y QUÍMICA,2,HOMBRE,Morelos,Centrosur,26
2015,BIOLOGÍA Y QUÍMICA,2,HOMBRE,México,Centrosur,18
2015,BIOLOGÍA Y QUÍMICA,2,HOMBRE,Nuevo León,Noreste,7
2015,BIOLOGÍA Y QUÍMICA,2,HOMBRE,Oaxaca,Suroeste,2
2015,BIOLOGÍA Y QUÍMICA,2,HOMBRE,Puebla,Oriente,11
2015,BIOLOGÍA Y QUÍMICA,2,HOMBRE,Querétaro,Centronorte,11
2015,BIOLOGÍA Y QUÍMICA,2,HOMBRE,Quintana Roo,Sureste,7
2015,BIOLOGÍA Y QUÍMICA,2,HOMBRE,San Luis Potosí,Centronorte,7
2015,BIOLOGÍA Y QUÍMICA,2,HOMBRE,Sin dato / Extranjero,Sin dato / Extranjero,12
2015,BIOLOGÍA Y QUÍMICA,2,HOMBRE,Sinaloa,Noroeste,3
2015,BIOLOGÍA Y QUÍMICA,2,HOMBRE,Sonora,Noroeste,5
2015,BIOLOGÍA Y QUÍMICA,2,HOMBRE,Tamaulipas,Noreste,2
2015,BIOLOGÍA Y QUÍMICA,2,HOMBRE,Tlaxcala,Oriente,5
2015,BIOLOGÍA Y QUÍMICA,2,HOMBRE,Veracruz,Oriente,21
2015,BIOLOGÍA Y QUÍMICA,2,HOMBRE,Yucatán,Sureste,9
2015,BIOLOGÍA Y QUÍMICA,2,HOMBRE,Zacatecas,Centronorte,1
2015,BIOLOGÍA Y QUÍMICA,2,MUJER,Aguascalientes,Centronorte,1
2015,BIOLOGÍA Y QUÍMICA,2,MUJER,Baja California,Noroeste,3
2015,BIOLOGÍA Y QUÍMICA,2,MUJER,Baja California Sur,Noroeste,9
2015,BIOLOGÍA Y QUÍMICA,2,MUJER,Campeche,Sureste,1
2015,BIOLOGÍA Y QUÍMICA,2,MUJER,Chiapas,Suroeste,3
2015,BIOLOGÍA Y QUÍMICA,2,MUJER,Ciudad de México,Centrosur,114
2015,BIOLOGÍA Y QUÍMICA,2,MUJER,Coahuila,Noreste,2
2015,BIOLOGÍA Y QUÍMICA,2,MUJER,Colima,Occidente,2
2015,BIOLOGÍA Y QUÍMICA,2,MUJER,Durango,Noroeste,1
2015,BIOLOGÍA Y QUÍMICA,2,MUJER,Guanajuato,Centronorte,3
2015,BIOLOGÍA Y QUÍMICA,2,MUJER,Hidalgo,Oriente,4
2015,BIOLOGÍA Y QUÍMICA,2,MUJER,Jalisco,Occidente,4
2015,BIOLOGÍA Y QUÍMICA,2,MUJER,Michoacán,Occidente,6
2015,BIOLOGÍA Y QUÍMICA,2,MUJER,Morelos,Centrosur,29
2015,BIOLOGÍA Y QUÍMICA,2,MUJER,México,Centrosur,7
2015,BIOLOGÍA Y QUÍMICA,2,MUJER,Nuevo León,Noreste,10
2015,BIOLOGÍA Y QUÍMICA,2,MUJER,Puebla,Oriente,2
2015,BIOLOGÍA Y QUÍMICA,2,MUJER,Querétaro,Centronorte,7
2015,BIOLOGÍA Y QUÍMICA,2,MUJER,Quintana Roo,Sureste,7
